winner,total_rocks,total_turn,ai_1_reflection,ai_2_reflection,ai_1_warning,ai_2_warning,player_1_capture,player_2_capture,value_weight,value_func_player,value_func_opponent
2,18,9,5057.102680206299,254.63199615478516,3,0,0,2,0.3,[0.4, 4.3, 0.7, 4.6, 2.6],[-2.3, -1.5, -3.2, -4.7, -2.0]
1,17,8,1426.4588356018066,259.4106197357178,1,0,0,0,0.3,[2.5, 4.3, 1.8, 2.5, 1.9],[-4.4, -1.3, -3.0, -2.3, -3.6]
2,52,26,8697.115659713745,1260.455846786499,6,0,4,10,0.1,[2.2, 4.9, 5.0, 2.9, 4.4],[-3.3, -4.6, -2.9, -3.2, -2.4]
1,17,8,1466.4313793182373,255.88703155517578,1,0,0,0,0.6,[2.2, 3.2, 3.0, 1.8, 1.1],[-3.3, -2.8, -4.5, -2.2, -2.2]
1,17,8,1272.8426456451416,246.3076114654541,1,0,0,0,0.9,[1.4, 3.6, 3.0, 4.1, 1.2],[-2.1, -2.7, -4.6, -3.9, -1.9]
1,35,17,5985.409259796143,575.7873058319092,5,0,2,4,0.4,[0.8, 2.7, 0.6, 3.1, 1.6],[-2.8, -2.4, -3.8, -3.0, -1.0]
1,55,27,9147.709846496582,1585.7465267181396,7,0,2,0,0.1,[1.6, 3.3, 4.8, 3.8, 3.9],[-3.4, -1.0, -4.9, -1.9, -4.6]
1,31,15,2642.6069736480713,1077.2926807403564,0,0,2,0,0.2,[2.4, 1.1, 3.7, 1.6, 1.0],[-0.3, -2.9, -3.0, -1.9, -0.3]
2,34,17,5841.307878494263,683.7522983551025,4,0,0,2,0.4,[3.4, 4.3, 0.7, 3.6, 2.3],[-1.7, -4.9, -0.9, -3.8, -1.8]
2,74,37,14269.890069961548,1756.129264831543,13,0,6,8,0.2,[1.9, 4.4, 1.7, 4.8, 2.8],[-2.7, -4.3, -1.8, -4.8, -3.9]
1,31,15,4399.246692657471,705.3837776184082,2,0,6,2,0.8,[1.8, 3.7, 0.6, 2.5, 4.9],[-3.8, -0.9, -2.8, -3.0, -3.5]
2,44,22,10841.99595451355,1248.1083869934082,8,0,0,10,0.8,[3.2, 3.9, 4.0, 2.9, 0.1],[-0.5, -4.0, -1.7, -1.5, -3.0]
1,35,17,4671.195030212402,890.2032375335693,2,0,4,2,0.1,[4.3, 0.1, 4.9, 4.1, 0.0],[-1.8, -2.9, -4.5, -4.0, -0.3]
1,57,28,11243.908166885376,1879.359245300293,9,0,6,0,0.0,[1.7, 4.7, 2.3, 3.8, 3.8],[-4.0, -3.3, -1.0, -2.0, -3.2]
1,37,18,5171.000242233276,1490.3697967529297,5,0,8,4,1.0,[1.4, 3.2, 4.7, 0.0, 1.9],[-3.5, -2.7, -2.3, -1.2, -3.5]
2,54,27,12843.213558197021,1661.1928939819336,10,0,0,8,0.4,[4.3, 4.4, 2.2, 1.4, 0.1],[-1.3, -3.8, -4.3, -1.3, -1.1]
1,17,8,1303.351879119873,270.9085941314697,1,0,0,0,0.5,[2.3, 0.5, 4.0, 0.3, 1.1],[-3.2, -4.2, -4.3, -2.2, -4.8]
2,44,22,9978.333473205566,1112.7281188964844,8,0,2,4,1.0,[1.8, 1.7, 4.0, 4.4, 2.3],[-0.9, -4.4, -1.3, -1.9, -2.1]
2,40,20,7683.349370956421,881.1380863189697,7,0,2,6,0.5,[4.3, 2.0, 3.9, 2.6, 0.3],[-2.4, -4.5, -4.9, -0.4, -4.3]
1,39,19,6753.052473068237,932.6088428497314,4,0,2,2,0.3,[2.0, 2.0, 3.4, 0.9, 5.0],[-2.9, -4.2, -2.6, -4.9, -1.7]
1,65,32,14143.983125686646,2528.247356414795,13,0,6,2,0.5,[1.1, 4.1, 3.8, 4.5, 1.4],[-4.9, -0.8, -3.5, -3.8, -1.3]
2,26,13,3717.768669128418,348.2551574707031,3,0,0,4,0.5,[4.6, 3.0, 4.8, 4.9, 4.2],[-1.5, -3.7, -1.5, -3.6, -2.5]
2,18,9,4877.665281295776,264.129638671875,3,0,0,2,0.5,[0.2, 4.2, 4.3, 0.5, 1.2],[-1.5, -1.5, -3.2, -3.9, -0.1]
1,57,28,9054.263353347778,3126.2946128845215,5,1,10,0,1.0,[0.2, 1.6, 1.0, 0.1, 3.0],[-0.5, -4.2, -2.5, -2.9, -1.8]
2,38,19,9992.940425872803,541.0165786743164,8,0,0,4,0.2,[1.3, 3.9, 0.6, 4.7, 3.9],[-1.9, -0.7, -2.3, -4.0, -4.7]
1,17,8,2315.333604812622,482.76591300964355,1,0,0,0,0.5,[2.0, 2.0, 1.6, 2.4, 0.7],[-2.2, -0.3, -3.0, -0.6, -1.3]
2,40,20,12662.326574325562,1318.6407089233398,11,0,0,6,0.3,[3.6, 3.3, 2.3, 2.2, 4.5],[-1.3, -4.5, -2.5, -4.8, -1.3]
2,46,23,18520.602464675903,1081.7768573760986,11,0,0,4,0.1,[4.1, 2.8, 0.9, 3.2, 1.7],[-1.4, -3.1, -1.2, -1.3, -3.9]
1,49,24,18099.862098693848,3124.2547035217285,10,0,8,0,1.0,[0.9, 0.9, 2.7, 2.8, 3.5],[-3.6, -0.9, -3.9, -3.0, -0.1]
1,57,28,18796.25630378723,4194.016456604004,14,1,6,2,0.8,[1.1, 4.6, 4.9, 3.4, 2.6],[-3.8, -2.7, -2.9, -1.5, -2.9]
1,43,21,15283.97822380066,3340.075969696045,14,2,4,0,0.8,[1.5, 2.3, 2.4, 2.6, 3.5],[-1.9, -4.1, -2.0, -1.0, -0.8]
2,18,9,6360.525369644165,496.66881561279297,6,0,0,2,0.3,[4.2, 3.3, 3.2, 2.0, 4.5],[-3.4, -4.2, -0.3, -1.1, -2.1]
1,43,21,10046.082496643066,2685.215473175049,9,1,6,4,0.3,[0.5, 2.4, 2.4, 3.7, 1.7],[-2.4, -3.6, -1.1, -4.9, -2.0]
1,17,8,2726.6931533813477,482.8357696533203,2,0,0,0,0.5,[3.8, 2.2, 0.8, 2.1, 1.8],[-3.8, -2.3, -2.1, -1.4, -2.8]
1,33,16,10011.713981628418,1235.212802886963,6,0,0,6,0.3,[4.6, 0.4, 0.8, 0.3, 0.9],[-2.2, -3.5, -1.9, -3.2, -4.0]
2,68,34,38198.009729385376,5357.004404067993,25,3,2,6,0.0,[2.5, 3.8, 4.3, 1.4, 3.9],[-2.8, -4.0, -1.6, -0.0, -4.3]
2,18,9,9809.523820877075,512.1850967407227,6,0,0,2,0.4,[0.6, 1.4, 0.5, 0.8, 3.7],[-1.8, -0.1, -2.0, -3.6, -2.0]
1,65,32,36247.95126914978,5864.42756652832,21,2,4,4,0.5,[2.6, 2.9, 3.0, 0.3, 0.9],[-0.9, -0.1, -4.9, -1.6, -3.1]
1,39,19,10766.765832901001,1192.0392513275146,11,0,0,0,0.9,[2.5, 4.7, 4.0, 0.6, 2.3],[-4.0, -2.8, -4.4, -1.5, -4.6]
